id,name,active,code_labor,description,rata_labor,unidad_medida,cantidad_minima,cantidad_maxima,equivalencia_tiempo,observacion
1,X01-LABOR DE PRUEBAS,true,X01,LABOR DE PRUEBAS,1.87,,0,0,1,
2,C013 - FUMIGACION MANUAL DE HERBICIDAS,true,C013,FUMIGACION MANUAL DE HERBICIDAS,1.87,,2,2,8,1 tanque (200lts) = 1 Ha
3,A013 - Control Manual de maleza,true,A013,"Control Manual de maleza
",1.87,,2,2,8,"Privativo: al momento de decidir la Ha prevalece sobre el tanque.
"
4,49 - OP. TRITURADORA,true,49,OP. TRITURADORA,1.87,,0,0,0,
5,90 - FIESTAS NACIONALES,true,90,FIESTAS NACIONALES,1.87,,0,0,0,
6,91 - DIA LIBRE,true,91,DIA LIBRE,1.87,,0,0,0,
7,92 - CERT. MEDICO,true,92,CERT. MEDICO,1.87,,0,0,0,
8,93 - AUS. PAGADA,true,93,AUS. PAGADA,1.87,,0,0,0,
9,94 - AUS. NO PAGADA,true,94,AUS. NO PAGADA,1.87,,0,0,0,
10,A00 - CANA PLANTA,true,A00,CAÑA PLANTA,1.87,,0,0,0,
11,A002 - ALCE Y DESCARGA DE ABONO,true,A002,ALCE Y DESCARGA DE ABONO,1.87,,0,0,0,
12,A003 - ALCE DE CAÑA,true,A003,ALCE DE CAÑA,1.87,,0,0,0,
13,A004 - CORTE DE CAÑA,true,A004,CORTE DE CAÑA,1.87,,0,0,0,
14,A005 - FUMIGACION AEREA HERBICIDA,true,A005,FUMIGACION AEREA HERBICIDA,1.87,,0,0,0,
15,A006 - FUMIGACION AEREA MADURANTE,true,A006,FUMIGACION AEREA MADURANTE,1.87,,0,0,0,
16,A009 - CHAPEO,true,A009,CHAPEO,1.87,,0,0,0,
17,A01 - ABONAMIENTO,true,A01,ABONAMIENTO,1.87,,0,0,0,
18,A010 - CAPATACES Y ASISTENTES,true,A010,CAPATACES Y ASISTENTES,1.87,,0,0,0,
19,A011 - CONTR./MANTEN DE CERCAS,true,A011,CONTR./MANTEN DE CERCAS,1.87,,0,0,0,
