id,name,tipo_equipo,marca,model,serial_no,motor,note,placa,anio,localizacion,codigo_activo,tipo_activo
1,4-01-001,AMBULANCIA.,TOYOTA,LAND CRUISER,HJ45LV-KC,H-90694,REGULAR,830451,1981,,4-01-001,VEHICULOS-TRANSPORTE
2,4-01-003,MICROBUS,HYUNDAI,HI MINI BUS,KMJWA37HACU347759,D4BHB014367,BUENA,726463,2011,,4-01-003,VEHICULOS-TRANSPORTE
3,4-01-004,MICROBUS,SUZUKI,,S-003,S/N,BUENA,823969,,,4-01-004,VEHICULOS-TRANSPORTE
4,4-01-005,CAMIONETA,TOYOTA,LAND CRUISER,S-004,S/N,BUENA,375714,,,4-01-005,VEHICULOS-TRANSPORTE
5,4-02-036,ARCOS ELECTR.,,,S-005,S/N,,SP,,,4-02-036,VEHICULOS-TRANSPORTE
6,4-02-037,ARCOS ELECTR.,MILLER,BOB CAT 225D,S-006,DEUTZ 150,BUENA,SP,,,4-02-037,VEHICULOS-TRANSPORTE
7,4-02-038,ARCOS ELECTR.,,,S-007,GASOLINA,,SP,,,4-02-038,VEHICULOS-TRANSPORTE
8,4-02-039,ARCOS ELECTR.,,,S-008,GASOLINA,,SP,,,4-02-039,VEHICULOS-TRANSPORTE
9,4-02-040,ARCOS ELECTR.,,,S-009,ELECX,,SP,,,4-02-040,VEHICULOS-TRANSPORTE
10,4-02-041,ARCOS ELECTR.,,,S-010,ELEC,,SP,,,4-02-041,VEHICULOS-TRANSPORTE
11,4-02-042,ARCOS ELECTR.,,,S-011,GASOLINA,,SP,,,4-02-042,VEHICULOS-TRANSPORTE
12,4-03-007,CICLONA,MFC,,S-012,NO TIENE,BUENA,SP,,,4-03-007,VEHICULOS-TRANSPORTE
13,4-03-010,ABONADORA,,,S-013,NO TIENE,,SP,,,4-03-010,VEHICULOS-TRANSPORTE
14,4-03-011,ABONADORA,,,S-014,NO TIENE,,SP,,,4-03-011,VEHICULOS-TRANSPORTE
