id,name,description,color,allow_timesheets,fincas_pma,zafra,odc,frente,subfinca,up,lote,has,correg,dist,desr,ubic,tds,fecha_est_cosecha,tipocorte,variedad,fdc,fds,hdc,hdq,hasq,tonq,hasv,tonv,tche1,tche2,tche3,hasc,toncos,tonme,tonrt,tchr,difton,difprc,are,bx,sac,pza,red,ph,tch_01,dif_01,tch_02,dif_02,tch_03,dif_03,tch_04,dif_04,dosm,mad,fdam
196,Jarquin,Jarquin-10,3,true,3,2020-2021,31,6,3,100001,10,12.27,,8.4,1.5,,AR,21/03/2021 05:40,C04,CP72-2086,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0195599,0,87.18337408,0,114,0,50,0,0,,
197,Jarquin,Jarquin-20,3,true,3,2020-2021,32,6,3,100001,20,10.9,,8.4,1.5,,ARF,22/03/2021 03:39,C04,CP89-2376,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.50091743,0,96.09908257,0,96,0,66,0,0,,
198,Jarquin,Jarquin-30,3,true,3,2020-2021,36,6,3,100001,30,6.44,,8.4,1.5,,AR,25/03/2021 15:12,C01,SP81-3250,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.78726708,0,57.27173913,0,82,0,42,0,0,,
199,Jarquin,Jarquin-40,3,true,3,2020-2021,33,6,3,100001,40,17.13,,8.4,1.5,,ARF,23/03/2021 16:07,C02,CP89-2376,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.44716871,0,70.56917688,0,83,0,89,0,0,,
200,Jarquin,Jarquin-50,3,true,3,2020-2021,34,6,3,100001,50,9.37,,8.4,1.5,,ARF,24/03/2021 15:13,C02,SP81-3250,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.4738527,0,81.36499466,0,0,0,0,0,0,,
201,Jarquin,Jarquin-51,3,true,3,2020-2021,35,6,3,100001,51,5.87,,8.4,1.5,,ARF,25/03/2021 04:22,C02,SP81-3250,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.33219761,0,81.36456559,0,0,0,0,0,0,,
202,Jarquin,Jarquin-60,3,true,3,2020-2021,57,6,3,100001,60,7.3,,8.4,1.5,,ARF,13/04/2021 12:28,C02,SP81-3250,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.0547945,0,69.20547945,0,0,0,0,0,0,,
203,Jarquin,Jarquin-65,3,true,3,2020-2021,61,3,3,100001,65,0.92,,8.4,1.5,,ARF,12/04/2021 09:26,C09,SP81-3250,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.7717391,0,148.6304348,0,113,0,93,0,0,,
204,Jarquin,Jarquin-70,3,true,3,2020-2021,14,3,3,100001,70,3.77,,8.4,1.5,,ARF,25/01/2021 15:20,C06,SP81-3250,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.9867374,0,57.78249337,0,77,0,77,0,0,,
205,Jarquin,Jarquin-90,3,true,3,2020-2021,58,3,3,100001,90,13.99,,8.4,1.5,,ARF,11/04/2021 10:42,C04,CP89-2376,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.40243031,0,84.69049321,0,69,0,70,0,0,,
